title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget en $,Opening weekend USA en $,gross en $,Cumulate Worldwide Gross en $,runtime,sound Mix,Color,Aspect Ratio
The Dark Knight : Le Chevalier noir,9.0,84,2356402,Action; Crime;,Christopher Nolan,Jonathan Nolan,2h 32min,2008-08-13,UK,Times Square; Causeway Bay; Hong Kong,7414,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",185000000.0,15841148,534858444,1005973645,152 min,"Dolby Digital
| SDDS
| DTS
| IMAX 6-Track
(IMAX version)","Color
(Technicolor)",2.39 : 1
Tosun Pasa,9.0,xxx,21994,Comedy; History,Kartal Tibet,Nazim Hikmet,1h 30min,1976-02-1,Turkey,Arzu Film,29,"Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla, so that Daver Bey will be inclined to give the green valley to his ""relatives"". Tellioglus, who are behind in the race, desperately find a final solution: They will fake their idiotic butler, Saban, as the highest ranked Ottoman soldier in Egypt: Tosun Pasha.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Maratonci trce pocasni krug,9.0,xxx,14757,Comedy; Drama,Slobodan Sijan,Dusan Kovacevic,1h 32min,1982-03-4,Yugoslavia,Centar Film,13,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",xxx,xxx,xxx,xxx,92 min,xxx,xxx,xxx
Al-risâlah,9.0,xxx,8122,Biography; Dram,Moustapha Akkad,H.A.L. Craig,3h 27min,1977-09-9,Arabia,Filmco International Productions,27,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",xxx,xxx,xxx,xxx,207 min,xxx,xxx,xxx
"Le parrain, 2ème partie",9.0,90,1153155,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola,3h 22min,1975-08-27,USA,2045 N. Hibiscus Drive; North Miami; Florida; USA,1128,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",13000000.0,17141,47834595,48035783,202 min,Mono,Color,1.85 : 1
12 Hommes en colère,9.0,96,706220,Crime; Drama,Sidney Lumet,Reginald Rose,1h 36min,1957-09-4,USA,New York County Courthouse - 60 Centre Street; New York City; New York; USA,1790,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.",350000.0,xxx,955,955,96 min,io: 1.66 : 1,xxx,xxx
Süt Kardesler,8.9,xxx,18860,Comedy; Family;,Ertem Egilmez,Sadik Sendil,1h 20min,1976-January-01,Turkey,Arzu Film,3,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence. Hüsamettin's sister thinks Ramazan is her foster son Saban when she realizes her mistake she introduces Ramazan to her brother as her son in law Bayram since she was afraid of Hüsamettin's short-tempered character. Things get complicated when real Saban and Bayram come to the residence. Now Saban has to be Ramazan and Bayram has to be Saban. Meanwhile, a gulyabani (a ghoul from Turkish folklore) haunts the residence.",xxx,xxx,xxx,xxx,80 min,xxx,xxx,xxx
Hababam Sinifi Sinifta Kaldi,8.9,xxx,22210,Comedy,Ertem Egilmez,Rifat Ilgaz,1h 31min,1976-01-01,Turkey,IMDbPro,4,A young and beautiful female teacher starts working in an all boys high school.,xxx,xxx,xxx,xxx,91 min,xxx,xxx,xxx
Le Seigneur des anneaux : Le Retour du roi,8.9,94,1672751,Action; Adventu,Peter Jackson,J.R.R. Tolkien,3h 21min,2003-12-17,USA,Dry Creek Quarry; Wellington; New Zealand,3853,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",94000000.0,7262971,377845905,1146030912,201 min,"DTS-ES
| Dolby Digital EX
| SDDS
| Dolby Atmos",Color,2.39 : 1
Pulp Fiction,8.9,94,1862796,Crime; Drama,Quentin Tarantino,Quentin Tarantino,2h 34min,1994-10-26,USA,1435 Flower Street; Glendale; California; USA,3235,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",8000000.0,931188,107928762,213928762,154 min,Dolby Digital,Color,2.39 : 1
La liste de Schindler,8.9,94,1236443,Biography; Dram,Steven Spielberg,Thomas Keneally,3h 15min,1994-03-2,USA,Józefa; Kraków; Malopolskie; Poland,1964,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.",22000000.0,65663,96898818,322161245,195 min,"DTS
| DTS-Stereo
| Dolby Atmos
(25th Anniversary Version)","Black and White
| Color",1.33 : 1
Balkanski spijun,8.9,xxx,10733,Comedy; Drama,Dusan Kovacevic,Dusan Kovacevic,1h 35min,1987-10-8,Yugoslavia,Serbia,17,"Ilija Cvorovic, a reformed former Stalinist who spent several years in a prison as a political prisoner, is called in for a routine conversation. He returns home convinced that the police is interested in his subtenant, a businessman returning from Paris to open a tailor shop. Convinced that his subtenant represents the greatest threat to national security Ilija begins his own surveillance operation against him.",xxx,xxx,xxx,xxx,95 min,xxx,xxx,xxx
Qui chante là-bas?,8.9,xxx,14401,Adventure; Come,Slobodan Sijan,Dusan Kovacevic,1h 26min,1982-01-13,Yugoslavia,IMDbPro,35,"On April 5, 1941, a date Serbs will recognize, men on a country road board Krstic's bus for Belgrade: two Gypsies who occasionally sing about misery, an aging war vet, a Nazi sympathizer, a dapper singer, a consumptive, and a man with a shotgun. Krstic is a world-weary cynic, out for a buck; the driver is his son, the simple, cheerful Misko. En route they pick up a priest and young newlyweds going to the seaside. Along the way, mis-adventure strikes: a flat tire, a rickety bridge, a farmer who's plowed the road, a funeral, two feuding families, an army detail, and a lost wallet slow the bus and expose rifts among the travelers. On April 6, amid rumors of war, they reach Belgrade...",xxx,xxx,xxx,xxx,86 min,xxx,xxx,xxx
Pariyerum Perumal,8.8,xxx,10519,Drama,Mari Selvaraj,Mari Selvaraj,2h 34min,2018-10-5,India,IMDbPro,149,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",xxx,xxx,xxx,xxx,154 min,xxx,xxx,xxx
Kill Bill: The Whole Bloody Affair,8.8,xxx,6665,Action; Crime;,Quentin Tarantino,Quentin Tarantino,4h 7min,2011-03-27,USA,IMDbPro,14,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",xxx,xxx,xxx,xxx,247 min,xxx,xxx,xxx
The Phantom of the Opera at the Royal Albert Hall,8.8,xxx,8421,Drama; Music; M,Nick Morris,Richard Stilgoe,2h 17min,2011-10-2,UK,Royal Albert Hall; South Kensington; London; England; UK,37,"In 1986, Andrew Lloyd Webber's The Phantom of the Opera arrived on the West End stage at Her Majesty's Theatre. Fast forward 25 years and Phantom has achieved global success, millions of viewers, a film adaptation in 2004 and a musical sequel. Now viewers have the chance to experience this phenomenal show right from their own screens. Filmed at the Royal Albert Hall, this stunning performance brings the show to a bigger stage and celebrates its role as one of the biggest shows in theatre history, with speeches, performances and appearances by the original cast and some of the show's most notable Phantoms, including John Owen-Jones and Colm Wilkinson. Starring Ramin Karimloo and Sierra Boggess, Phantom tells the story of a deformed musical genius who lives in the catacombs of the Paris Opera House. Shunned by society, the Phantom seeks revenge in cruel and often violent acts. The Phantom is in love with chorus girl Christine Daaé and has been secretly training her to replace La ...",xxx,xxx,4451482,4451482,137 min,xxx,xxx,xxx
Les Misérables in Concert: The 25th Anniversary,8.8,xxx,5573,Drama; Music; M,Nick Morris,Alain Boublil,2h 58min,2010-10-3,UK,The O2 Arena; London; England; UK,43,A celebratory 25th anniversary concert performance of the hit musical at The O2 in London.,xxx,xxx,742004,742004,178 min,xxx,xxx,xxx
Inception,8.8,74,2114470,Action; Adventu,Christopher Nolan,Christopher Nolan,2h 28min,2010-07-21,UK,Bedfordshire; England; UK,4259,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",160000000.0,6278533,292576195,836836967,148 min,"Dolby Digital
| DTS
| SDDS",Color,2.39 : 1
Drishyam 2,8.8,xxx,24824,Crime; Drama; T,Jeethu Joseph,Jeethu Joseph,2h 32min,2021-02-19,India,See more,950,"Six years after the terrible event that almost destroyed his family, Georgekutty is the proud owner of a movie theater and aspiring to write and produce his own hit film. Yet his wife Rani is ill at ease. She worries about Georgekutty, who's taken out a loan and started drinking. She worries about her daughters; Anju suffers epileptic fits and cowers in fear at the sound of a passing police siren, and young Anu's growing independence takes her away from her mother's watchful eyes. Even more worrying, the neighbors have started to gossip and the police have remained relentless in unearthing George's darkest secret. When someone from the past returns to the village, can Georgekutty save his family a second time?",xxx,xxx,xxx,xxx,152 min,xxx,xxx,xxx
Saban Oglu Saban,8.8,xxx,16625,Comedy; Crime;,Ertem Egilmez,Sadik Sendil,1h 30min,1977-12-1,Turkey,Arzu Film,6,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers shaban, after discharge from the army shaban and his friend Ramazan work in a night club as member of the band, they ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen and shaban and his friend Ramazan is put in charge of finding the thief.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Hababam Sinifi Uyaniyor,8.8,xxx,18635,Comedy,Ertem Egilmez,Rifat Ilgaz,1h 34min,1977-01-01,Turkey,Arzu Film,1,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,xxx,xxx,xxx,xxx,94 min,xxx,xxx,xxx
Kireedam,8.8,xxx,6574,Action; Drama,Sibi Malayil,A.K. Lohithadas,2h 4min,1989-07-7,India,Kripa Films,29,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,xxx,xxx,181001,181001,124 min,xxx,xxx,xxx
Fight Club,8.8,66,1892543,Drama,David Fincher,Chuck Palahniuk,2h 19min,1999-11-10,USA,421 W. Eighth Street; Los Angeles; California; USA,3965,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.",63000000.0,1103548,37030102,101209702,139 min,"Dolby Digital
| DTS
| SDDS",Color,2.39 : 1
Le Seigneur des anneaux : La Communauté de l'anneau,8.8,92,1693486,Action; Adventu,Peter Jackson,J.R.R. Tolkien,2h 58min,2001-12-19,USA,Fort Dorset; Miramar; Wellington; New Zealand,5494,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.",93000000.0,4721149,315710750,897690072,178 min,"DTS
| Dolby Digital EX
| SDDS
| Dolby Atmos",Color,2.39 : 1
Forrest Gump,8.8,82,1851750,Drama; Romance,Robert Zemeckis,Winston Groom,2h 22min,1994-10-5,USA,Monument Valley; Arizona; USA,2625,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",55000000.0,2445060,330455270,678226133,142 min,"DTS
(The Digital Experience)| Dolby SR
| SDDS
| Dolby Atmos
| Dolby Digital
(5.1)","Color
|  Black and White",2.39 : 1
"Le Bon, la brute, le truand",8.8,90,700448,Western,Sergio Leone,Luciano Vincenzoni,2h 41min,1968-03-8,Germany,Mini Hollywood; Tabernas; Almería; Andalucía; Spain,1186,"Blondie (The Good) (Clint Eastwood) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) (Lee Van Cleef) is a hitman who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) (Eli Wallach) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off of Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows ...",1200000.0,xxx,25100000,25253751,161 min,"or
(Technicolor)",Ratio: 2.35 : 1,xxx
La condition de l'homme: La prière du soldat,8.8,xxx,5344,Drama; History;,Masaki Kobayashi,Zenzô Matsuyama,3h 10min,1961-01-28,Japan,Ninjin Club,23,"Part three of a trilogy. After the Japanese defeat to the Russians in the last episode, Kaji, the Japanese soldier and humanistic protagonist, leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines. Ultimately, he finds himself in the exact opposite position he held in the first episode: Then a labor manager, Kaji is now a prisoner of war, forced to work for the Russians, who do not seem to hold to the Communist ideals in which Kaji himself had put his faith.",xxx,xxx,xxx,xxx,190 min,xxx,xxx,xxx
Montagne II,8.7,xxx,105986,Action; Drama;,Alper Caglar,Alper Caglar,2h 15min,2016-12-1,Turkey,Ankara; Turkey,152,"DAG II; tells the story of a clandestine special forces squad; call sign 'Storm Bringer'. Following the events of the first film, Bekir and Oguz, unlikely best friends, have enrolled in the world famous, perpetually grueling Turkish special forces training. Their first mission begins six years later-- to infiltrate the most barbarous area of modern day Iraq for a rescue mission.",19271.2,xxx,11378898,11378898,135 min,xxx,xxx,xxx
Monpura,8.7,xxx,6599,Crime; Drama; M,Giasuddin Selim,Giasuddin Selim,2h 16min,2009-02-13,Bangladesh,See more,19,"A housemaid is killed by a local landlord's son. His servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named Monpura. There the servant comes across a fisherman's daughter.",xxx,xxx,xxx,xxx,136 min,xxx,xxx,xxx
Neseli Günler,8.7,xxx,10334,Comedy; Drama;,Orhan Aksoy,Sadik Sendil,1h 32min,1978-January-01,Turkey,Istanbul; Turkey,2,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,xxx,xxx,xxx,xxx,92 min,xxx,xxx,xxx
Graves End,8.7,xxx,6519,Thriller; Myste,James Marlowe,Rick Askew,1h 30min,2005-04-22,USA,Ben Lomond; California; USA,25,"In Graves End, the four year-old son of the wealthy financier Tag Graves is kidnapped and the criminals demand a ransom of six million dollars. FBI agent Paul Rickman is assigned to the case that ends with the cruel death of the child and the disappearance of the requested amount. The kidnapper Luke Devilyn is arrested but is released after his trial due to fails in the evidences. He returns to Graves End, a place where the 666 dwellers welcome ex-cons rejected by other towns. When Luke Devilyn is found dead in the woods nearby the town, agent Rickman notes that the criminals that move to Graves End simply vanish, and he returns to the town for further investigation. He meets Sheriff Hooper and recognizes him from a case of bad temper and attitude with great repercussion in the past. Meanwhile, the psychopath Billy also comes to the town leaving a trail of blood behind.",1930000.0,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Anbe Sivam,8.7,xxx,17846,Adventure; Come,Sundar C.,Kamal Haasan,2h 40min,2003-01-14,India,IMDbPro,94,"Evocative and provocative, this masterfully crafted relationship drama tells the story of a series of comic events that occur when Nalla Sivam (Kamal Haasan) a wise-cracking, handicapped communist and Anbarasu (R. Madhavan), an arrogant young advertisement filmmaker who favors capitalism meet. They get stuck with each other on their problem-filled trip from Bhubaneswar to Chennai, giving them a unique opportunity to explore each other's belief system. Themes such as globalization, financial disparity and compassion in present-day India are explored around the two protagonists, while they also find how deeply interconnected their lives are.",xxx,xxx,xxx,xxx,160 min,xxx,xxx,xxx
Devasuram,8.7,xxx,5022,Action; Drama;,I.V. Sasi,Ranjith,3h 7min,1993-04-14,India,IMDbPro,10,"Neelakandan (Mohanlal) is the heir to the Mangalasherry family who squanders away his father's largest and is a dependable menace to society. One of his victims is promising dancer Bhanu (Revathi) who vows never to dance again till his death following a public affront by Neelakandan and his cronies. Ironically they fall in love. Meanwhile, the vicious Shekaran (Napoleon) of a rival clan has sworn to avenge the death of his uncle, killed by Neelakandan's men. A reasonably watchable film that goes fairly awry towards the second half. Innocent is good as Neelakandan's long-suffering manservant.",xxx,xxx,xxx,xxx,187 min,xxx,xxx,xxx
Canim Kardesim,8.7,xxx,8878,Drama,Ertem Egilmez,Sadik Sendil,1h 32min,1973-03-01,Turkey,Arzu Film,9,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.,xxx,xxx,xxx,xxx,92 min,xxx,xxx,xxx
Kibar Feyzo,8.7,xxx,15229,Comedy; Romance,Atif Yilmaz,Ihsan Yüce,1h 23min,1978-11-01,Turkey,Arzu Film,8,"A feudal village in Southeastern Turkey in 1970's. A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand. While Feyzo is trying to deal with the greed of Gulo's father who is asking for an astronomical amount of money, he has to also convince his mother, who wants to buy an ox instead of a bride. Feyzo overcomes all these difficulties, but he gets kicked out of the village on his wedding day by the landlord, Maho Aga, who is eager to protect his status against any threat. However, Feyzo goes to the big city on exile only to bring back more problems for Maho.",xxx,xxx,xxx,xxx,83 min,xxx,xxx,xxx
Hababam Sinifi Tatilde,8.7,xxx,16937,Adventure; Come,Ertem Egilmez,Rifat Ilgaz,1h 37min,1977-02-01,Turkey,IMDbPro,1,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first but later they understand that female students are trouble as much as Hababam Sinifi and played with them so they decide to fight against that girls.,xxx,xxx,xxx,xxx,97 min,xxx,xxx,xxx
Manichitrathazhu,8.7,xxx,9254,Comedy; Horror;,Fazil,Madhu Muttam,2h 49min,1993-12-24,India,Swargachitra,45,"Renowned Psychiatrist Dr. Sunny Joseph lives in America. He decides to travel to a town in India after he gets a distress call from his friend, who belongs to a very noble and wealthy family, to counsel and treat a female family member, who he suspects is responsible for a variety of incidents. Sunny accepts this assignment not realizing that there is another side to this tale, namely a vengeful spirit, who may not respond to his methods, and he may end up endangering everyone's lives.",xxx,xxx,xxx,xxx,169 min,xxx,xxx,xxx
Zügürt Aga,8.7,xxx,14216,Comedy; Drama,Nesli Çölgeçen,Yavuz Turgul,1h 41min,1989-06-29,Turkey,Mine Film,4,"The landowner (Agha) of the Haraptar village marries off his old father with the young and beautiful Kiraz. But on the nuptial night, his father dies and everything starts to go bad for the Agha. Due to the long drought and provocations of Kekec Salman (big brother of Kiraz), the peasants steal the crops and run away to Istanbul. Without the peasants and crops, Agha is also forced to sell the village and move to Istanbul. But he cannot keep up with the big city life and consumes all his money and belongings. Agha's wife and relatives leave him during this downfall. Only Kiraz stays with him at the end and they make a fresh start via the best thing that Agha can make: raw meatballs .",xxx,xxx,xxx,xxx,101 min,xxx,xxx,xxx
Lajanje na zvezde,8.7,xxx,6894,Comedy; Romance,Zdravko Sotra,Zdravko Sotra,1h 35min,1998-06-1,Yugoslavia,IMDbPro,4,Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.,xxx,xxx,xxx,xxx,95 min,xxx,xxx,xxx
